name,postal_code,country_code
 Ljubljana,1000,SI
 Ljubljana – P.P.,1001,SI
 Ljubljana – Šentvid,1210,SI
 Ljubljana – Šmartno,1211,SI
 Medvode,1215,SI
 Smlednik,1216,SI
 Vodice,1217,SI
 Komenda,1218,SI
 Laze v Tuhinju,1219,SI
 Motnik,1221,SI
 Trojane,1222,SI
 Blagovica,1223,SI
 Lukovica,1225,SI
 Domžale,1230,SI
 Ljubljana – Črnuče,1231,SI
 Dob,1233,SI
 Mengeš,1234,SI
 Radomlje,1235,SI
 Trzin,1236,SI
 Kamnik,1241,SI
 Stahovica,1242,SI
 Moravče,1251,SI
 Vače,1252,SI
 Ljubljana – Polje,1260,SI
 Ljubljana – Dobrunje,1261,SI
 Dol pri Ljubljani,1262,SI
 Litija,1270,SI
 Polšnik,1272,SI
 Dole pri Litiji,1273,SI
 Gabrovka,1274,SI
 Šmartno pri Litiji,1275,SI
 Primskovo,1276,SI
 Kresnice,1281,SI
 Sava,1282,SI
 Grosuplje,1290,SI
 Škofljica,1291,SI
 Ig,1292,SI
 Šmarje – Sap,1293,SI
 Višnja Gora,1294,SI
 Ivančna Gorica,1295,SI
 Šentvid pri Stični,1296,SI
 Krka,1301,SI
 Zagradec,1303,SI
 Ribnica,1310,SI
 Turjak,1311,SI
 Videm – Dobrepolje,1312,SI
 Struge,1313,SI
 Rob,1314,SI
 Velike Lašče,1315,SI
 Ortnek,1316,SI
 Sodražica,1317,SI
 Loški Potok,1318,SI
 Draga,1319,SI
 Kočevje,1330,SI
 Dolenja vas,1331,SI
 Stara Cerkev,1332,SI
 Kostel,1336,SI
 Osilnica,1337,SI
 Kočevska Reka,1338,SI
 Brezovica pri Ljubljani,1351,SI
 Preserje,1352,SI
 Borovnica,1353,SI
 Horjul,1354,SI
 Polhov Gradec,1355,SI
 Dobrova,1356,SI
 Notranje Gorice,1357,SI
 Log pri Brezovici,1358,SI
 Vrhnika,1360,SI
 Logatec,1370,SI
 Logatec,1371,SI
 Hotedršica,1372,SI
 Rovte,1373,SI
 Cerknica,1380,SI
 Rakek,1381,SI
 Begunje pri Cerknici,1382,SI
 Grahovo,1384,SI
 Nova vas,1385,SI
 Stari trg pri Ložu,1386,SI
 Zagorje ob Savi,1410,SI
 Izlake,1411,SI
 Kisovec,1412,SI
 Čemšenik,1413,SI
 Podkum,1414,SI
 Trbovlje,1420,SI
 Dobovec,1423,SI
 Hrastnik,1430,SI
 Dol pri Hrastniku,1431,SI
 Zidani Most,1432,SI
 Radeče,1433,SI
 Loka pri Zidanem Mostu,1434,SI
 Maribor,2000,SI
 Maribor – P.P.,2001,SI
 Zgornja Kungota,2201,SI
 Miklavž na Dravskem polju,2204,SI
 Starše,2205,SI
 Marjeta na Dravskem polju,2206,SI
 Pohorje,2208,SI
 Pesnica pri Mariboru,2211,SI
 Šentilj v Slovenskih goricah,2212,SI
 Zgornja Velka,2213,SI
 Sladki Vrh,2214,SI
 Ceršak,2215,SI
 Jarenina,2221,SI
 Jakobski Dol,2222,SI
 Jurovski Dol,2223,SI
 Malečnik,2229,SI
 Lenart v Slovenskih goricah,2230,SI
 Pernica,2231,SI
 Voličina,2232,SI
 Sv. Ana v Slovenskih goricah,2233,SI
 Benedikt,2234,SI
 Sv. Trojica v Slovenskih goricah,2235,SI
 Cerkvenjak,2236,SI
 Spodnji Duplek,2241,SI
 Zgornja Korena,2242,SI
 Ptuj,2250,SI
 Dornava,2252,SI
 Destrnik,2253,SI
 Trnovska vas,2254,SI
 Vitomarci,2255,SI
 Juršinc,2256,SI
 Polenšak,2257,SI
 Sveti Tomaž,2258,SI
 Ivanjkovci,2259,SI
 Ormož,2270,SI
 Gorišnica,2272,SI
 Podgorci,2273,SI
 Velika Nedelja,2274,SI
 Miklavž pri Ormožu,2275,SI
 Kog,2276,SI
 Središče ob Dravi,2277,SI
 Markovci,2281,SI
 Cirkulane,2282,SI
 Zavrč,2283,SI
 Videm pri Ptuju,2284,SI
 Zgornji Leskovec,2285,SI
 Podlehnik,2286,SI
